numPasses,task,alg,pool,aggregators,mode,trainginData,hasAST,hasCFG,hasDFG,corrMean,corrSTD,topk,topkSTD,correct,correctSTD,average_corr,num
3,rank,False,max_mean_attention,max_mean_std,cat,all,True,False,False,0.7164514764130763,0.007945250010804749,0.581399346742307,0.012807000537864304,0.8525210084033612,0.007403785792733653,0.7216607426235598,7
4,rank,False,max_mean_attention,max_mean_std,cat,all,True,False,True,0.7247362500129867,0.006896605278796398,0.5838060856111398,0.00796742666409247,0.853361344537815,0.010968720573282876,0.7234817637273364,7
3,rank,False,max_mean_attention,max_mean_std,cat,all,True,True,False,0.7305468318438307,0.0031046125089353024,0.5965703971119134,0.009678524634263176,0.8560661764705882,0.008493761067755835,0.7265355558478637,8
2,rank,False,max_mean_attention,max_mean_std,cat,all,True,True,True,0.7351622950605705,0.00487929102645082,0.5895306859205777,0.010674775467458516,0.8548529411764706,0.008474723255425852,0.7297064119330954,10
1,rank,False,max_mean_attention,max_mean_std,cat,termination,False,True,False,0.8405976180720378,0.00624348668703405,0.6842391304347826,0.012018121949726087,0.9627118644067798,0.003747598633169932,nan,10
3,rank,False,max_mean_attention,max_mean_std,cat,reachSafety,False,True,True,0.7127426241487114,0.011033281236687748,0.5701906412478336,0.008036064554155748,0.8318872017353579,0.010571360460747253,nan,8
2,rank,False,max_mean_attention,max_mean_std,cat,all,False,True,False,0.7361869105788885,0.010183580828698005,0.5886883273164861,0.005349244469528977,0.8658823529411765,0.010822570289984759,0.7299563536660026,10
2,rank,False,max_mean_attention,max_mean_std,cat,memSafety,False,True,False,0.7667096090835381,0.008685411273337176,0.6310344827586207,0.031034482758620703,0.8,0.019047619047619067,nan,10
3,rank,False,max_mean_attention,max_mean_std,cat,memSafety,False,True,False,0.7682646334452448,0.009932432342408416,0.6517241379310345,0.03600105692727778,0.8047619047619048,0.014285714285714303,nan,10
1,rank,False,max_mean_attention,max_mean_std,cat,reachSafety,False,True,True,0.7052183524601878,0.011883916099648867,0.5674176776429809,0.011810554618648762,0.8266811279826465,0.01440353605295795,nan,10
1,rank,False,max_mean_attention,max_mean_std,cat,memSafety,False,True,True,0.7545212795974707,0.008017624029412975,0.6620689655172414,0.02068965517241381,0.8095238095238095,0.0,nan,10
3,rank,False,max_mean_attention,max_mean_std,cat,termination,False,True,False,0.8418747949152582,0.008714090999109242,0.6945652173913044,0.014542487130717,0.964406779661017,0.005677895831141733,nan,10
1,rank,False,max_mean_attention,max_mean_std,cat,all,False,True,False,0.7356550132571783,0.010668351939363245,0.5938628158844765,0.009645739796559196,0.8634803921568629,0.01645080803387241,0.7324734703104969,6
1,rank,False,max_mean_attention,max_mean_std,cat,all,True,False,True,0.7250756373036809,0.008392336521264882,0.5898014440433212,0.0053626785409073025,0.8533088235294117,0.008407791636786234,0.7246503697507427,8
3,rank,False,max_mean_attention,max_mean_std,cat,overflow,False,True,False,0.5978713968957872,0.009397238879678223,0.5048780487804878,0.028961809968385172,0.8142857142857143,0.01428571428571427,nan,10
1,rank,False,max_mean_attention,max_mean_std,cat,overflow,False,True,True,0.5905544362554452,0.01188752732045606,0.5073170731707318,0.034146341463414644,0.8095238095238095,0.0,nan,10
2,noJump,False,max_mean_attention,max_mean_std,cat,all,True,True,True,0.7287309617421224,0.007560688265952878,0.5825511432009628,0.014354437077307602,0.855735294117647,0.011323529411764715,0.7215532465190637,10
2,rank,False,max_mean_attention,max_mean_std,cat,all,True,True,False,0.7270117461151593,0.0089822429541256,0.5893501805054151,0.011475469989627339,0.85625,0.009293547543944524,0.7260972390710256,8
2,rank,False,attention,max_mean_std,cat,all,True,True,True,0.7166486452978268,0.006148009970325411,0.5783393501805054,0.012297941074407926,0.8427941176470588,0.008173348959758969,0.6996170963726407,10
9,rank,False,max_mean_attention,max_mean_std,cat,all,True,True,True,0.746166254608355,0.00248384421580089,0.5866425992779782,0.000601684717208173,0.8485294117647059,0.010294117647058787,0.7312904882831408,2
1,rank,False,max_mean_attention,max_mean_std,cat,all,True,True,True,0.7332736529402809,0.0038431283258640674,0.5920577617328521,0.008605804373927328,0.8573529411764705,0.01635690055447206,0.7246483181744752,7
7,rank,False,max_mean_attention,max_mean_std,cat,all,True,True,True,0.740137248494848,0.008271769351006174,0.6028880866425993,0.005895282172763358,0.865686274509804,0.006161669161753231,0.7315986616957001,3
0,rank,False,max_mean_attention,max_mean_std,cat,reachSafety,N/A,N/A,N/A,0.6649412703055972,0.0038803561540667647,0.550259965337955,0.0035728818246253593,0.8150759219088937,0.0053958103964567425,nan,4
2,rank,False,max_mean_attention,max_mean_std,cat,memSafety,False,True,True,0.7618202813266406,0.012089068651715712,0.6379310344827587,0.0353343129860676,0.8095238095238095,0.0,nan,10
2,rank,False,max_mean_attention,max_mean_std,cat,reachSafety,False,True,True,0.7121363169484466,0.010118974799007722,0.5653379549393414,0.008195209994826263,0.8357917570498916,0.010222882141386723,nan,10
3,rank,False,max_mean_attention,max_mean_std,cat,overflow,False,True,True,0.59354527568847,0.017320995611354455,0.5146341463414634,0.03170731707317075,0.8238095238095238,0.02182178902359921,nan,10
0,rank,False,max_mean_attention,max_mean_std,cat,overflow,N/A,N/A,N/A,0.5878787878787879,0.0,0.4878048780487805,0.0,0.8095238095238095,0.0,nan,1
2,rank,False,max_attention,max_mean_std,cat,all,True,True,True,0.7376102252461681,0.005213983497597309,0.589049338146811,0.011732080569536792,0.8529411764705882,0.00805474349272303,0.7317929645733373,10
